feature,importance_mean,importance_std
OverTime,0.09523814178803418,0.02343486116869479
BusinessTravel,0.014482290158054212,0.01881177280701664
PercentSalaryHike,0.003728665552145244,0.01088200875648001
NumCompaniesWorked,0.0029502641889056157,0.016237998796790266
JobSatisfaction,0.002564149261875992,0.022478367024361384
Gender,0.001567624032434295,0.009201423293031509
YearsSincePromotionRatio,-0.001204531902206324,0.003613595706618972
JobLevel,-0.003331513905126815,0.011236416723252042
MaritalStatus,-0.005537563960444636,0.01629838383287056
YearsSinceLastPromotion,-0.005815111234017861,0.02183470956896152
MonthlyRate,-0.0060226595110316195,0.0060226595110316195
TrainingTimesLastYear,-0.006664979165970341,0.019565365240782655
Education,-0.007227191413237943,0.005900977078619001
YearsAtCompany,-0.007890261955338356,0.007672956220921626
RelationshipSatisfaction,-0.009777275014112869,0.01608494255315688
YearsWithCurrManager,-0.012618872718323366,0.018149574595274904
HourlyRate,-0.013192430387530702,0.0076320082520912385
JobInvolvement,-0.013708732218071317,0.013509551698557073
StockOptionLevel,-0.017476861343032148,0.012659042599110425
TotalWorkingYears,-0.01857027716533231,0.03180855779253689
EnvironmentSatisfaction,-0.020384639790353078,0.02025327487012268
MonthlyIncome,-0.020864648298917165,0.026893071540886774
PerformanceRating,-0.022596547706246035,0.011565770684741761
EducationField,-0.02412140205742458,0.016167833413806613
YearsInCurrentRole,-0.025267669976637718,0.017291176709487387
Department,-0.025502950315695584,0.015033889935264817
JobRole,-0.02760578932840226,0.02113965430290941
RoleTenureRatio,-0.028652493803663977,0.027473266994407494
DistanceFromHome,-0.033153989657664466,0.024330301469843683
Age,-0.03434549751810787,0.010065993676236585
WorkLifeBalance,-0.0394053419460134,0.01349648288734626
IncomePerJobLevel,-0.04012796380981078,0.020874669341578358
DailyRate,-0.051622434111275074,0.01798041092427081
